number,form.food.ate_past_24_h,form.food.nbr_eat_7_day,form.food.fooditem,food,nbr_food,number_meals,Ano,Mês,Dia
730,1,14,raketa_mena,1 5 7,3,3,2019,setembro,14
740,1,7,raketa_mena,12 5,2,0,2019,setembro,14
741,1,5,ampemba,2 5,2,0,2019,setembro,14
742,1,4,ravina_hafa,1 10 18 2 25 4 5 7,8,0,2019,setembro,14
743,0,5,pitipoa,16 5,2,1,2018,agosto,1
744,0,2,vary,12 16 5,3,2,2018,agosto,8
750,1,4,tsako,16 5,2,2,2018,agosto,8
751,1,3,balahazo _maina,13,1,3,2018,agosto,8
760,1,7,raketa_mena,1 16,2,2,2018,agosto,8
761,1,7,ravina_hafa,16,1,5,2018,agosto,8
770,1,7,raketa_mena,1 10 16 4 5 7,6,3,2018,agosto,8
771,1,8,ravina_hafa,1 5,2,2,2018,agosto,8
780,1,9,raketa_mena,1,1,2,2018,agosto,8
781,1,4,balahazo _maina,16 5,2,2,2018,agosto,8
790,1,3,tsako,1 12,2,3,2018,agosto,8
791,1,3,raketa_mena,1 16,2,2,2018,agosto,8
810,1,14,raketa_mena,1 16,2,0,2018,agosto,7
820,0,0,tsako,,0,2,2018,agosto,7
821,1,7,raketa_mena,2,1,2,2018,agosto,7
822,1,4,balahazo _maina,,0,3,2018,agosto,28
830,1,2,raketa_mena,1 16,2,2,2018,agosto,8
831,1,1,ampemba,16 21,2,1,2018,agosto,8
840,0,0,tsako,16 4,2,2,2018,agosto,8
841,0,0,voanemba,,0,2,2018,agosto,8
842,0,0,antake,5,1,2,2018,agosto,8
843,1,21,raketa_mena,16 5,2,1,2018,agosto,8
844,0,0,taboara,5,1,2,2018,agosto,8
845,0,0,voankazo_hafa,12 21 5,3,2,2018,agosto,8
846,0,0,ampemba,,0,2,2018,agosto,8
847,1,7,ravina_hafa,5,1,3,2018,agosto,8
848,0,0,hena_omby,2 5,2,2,2018,agosto,8
849,0,0,hena_hafa,1 2,2,2,2018,agosto,8
850,1,7,raketa_mena,2 5,2,2,2018,agosto,8
851,1,2,ampemba,5,1,2,2018,agosto,8
852,1,2,vary,5,1,3,2018,agosto,8
860,1,4,raketa_mena,18 2 21 24 25 27 29 5 7,9,3,2019,setembro,23
870,1,1,sakafo_ambaniny_tany_hafa,5,1,2,2019,setembro,24
880,1,4,raketa_mena,5 7,2,2,2019,setembro,23
890,1,5,raketa_mena,1 2,2,2,2019,setembro,23
900,1,30,raketa_mena,1 10 28,3,3,2019,setembro,24
910,1,30,raketa_mena,1 13 2 27 7,5,3,2019,setembro,24
920,1,8,raketa_mena,1 10,2,0,2019,setembro,9
921,1,7,ravi_balahazo,1,1,3,2019,setembro,17
930,1,21,ampemba,2 7,2,7,2019,setembro,14
931,1,21,pitipoa,2 5 7,3,7,2019,setembro,14
940,1,14,balahazo _maina,,0,2,2019,setembro,14
950,1,1,raketa_mena,2 7,2,2,2019,setembro,14
951,1,1,balahazo _maina,1 2 7,3,3,2019,setembro,14
960,1,1,raketa_mena,1 10,2,,2019,setembro,16
961,1,1,balahazo _maina,7,1,3,2019,setembro,19
970,1,1,tsako,16 21 5,3,2,2018,agosto,17
971,1,1,raketa_mena,16 21 5,3,2,2018,agosto,17
972,1,1,ravina_hafa,1 16 5,3,3,2018,agosto,17
980,0,0,tsako,16 20,2,5,2018,agosto,7
981,0,0,voanemba,5,1,1,2018,agosto,7
982,0,0,tsaramaso,16 6,2,2,2018,agosto,7
983,0,0,antake,5,1,2,2018,agosto,7
984,1,21,raketa_mena,1 10 15 18 2 20 22 24 26 27 3 5 6 9,14,2,2018,agosto,7
985,0,0,taboara,1 10 11 12 15 16 18 2 22 23 26 27 3 4 5 6 7 9,18,2,2018,agosto,7
986,0,0,voankazo_hafa,1 10 16 5,4,3,2018,agosto,7
987,0,0,ampemba,1 16,2,0,2018,agosto,7
988,0,0,hena_omby,1 10 16 4,4,3,2018,agosto,7
989,0,0,hena_hafa,1 10 15 16 20 22 24 26 28 4 5 6 7 9,14,2,2018,agosto,7
990,1,5,raketa_mena,5,1,3,2018,agosto,7
1000,1,6,legumes_hafa,16,1,3,2018,agosto,7
1001,1,5,raketa_mena,16 5,2,0,2018,agosto,7
1010,1,21,raketa_mena,16,1,1,2018,agosto,8
1020,1,2,ravina_hafa,1,1,1,2018,agosto,8
1021,1,2,balahazo _maina,13 16,2,2,2018,agosto,8
1030,1,3,ampemba,1 2,2,1,2018,agosto,8
1040,1,2,raketa_mena,1 16,2,3,2018,agosto,4
1041,1,1,ampemba,5 7,2,3,2018,agosto,1
1050,1,1,tsako,15 16 5 6,4,3,2018,agosto,8
1051,1,5,raketa_mena,16 8,2,3,2018,agosto,8
