valor;Votos;Resultado
1876.8;114;0
8416.73;114;0
725.12;114;0
972.1;113;0
8942.97;113;0
11040.95;113;0
7652.87;112;0
;111;0
5018.25;111;0
5832.58;111;0
627.85;110;0
4402.68;109;0
28472.25;108;0
10193.16;107;0
5488.46;106;0
6722.41;106;0
2075.34;104;0
2224.94;104;0
18016.2;104;0
4162.39;104;0
4004.12;104;0
896.83;103;0
4041.33;103;0
1296.13;102;0
5936.27;102;0
19548.16;102;0
;102;0
6468.23;101;0
5119.71;101;0
2132.13;99;0
4806.71;99;0
;99;0
1741.03;98;0
596.22;98;0
;98;0
;97;0
;96;0
;96;0
;95;0
;94;0
9543.57;93;0
;93;0
2203.42;91;0
2223.56;91;0
9063.33;91;0
3500.91;90;0
3888.39;90;0
2224.94;90;0
4252.7;90;0
259.23;89;0
1407.6;89;0
1876.8;89;0
7076.87;89;0
;88;0
;87;0
;85;0
6156.62;84;0
3227.36;81;0
3836.54;81;0
15911.73;81;0
3836.54;80;0
12939.04;79;0
259.23;79;0
9811.38;78;0
9072.36;78;0
2617.84;78;0
1659.05;75;0
7076.87;75;0
7644.77;75;0
12378.04;75;0
2939.62;75;0
3240.32;74;0
6279.46;72;0
;72;0
763.82;72;0
2136.02;71;0
14257.54;71;0
6447.25;71;0
8720.14;70;0
648.06;69;0
;69;0
4368.97;69;0
3836.54;68;0
627.85;67;0
5541.54;67;0
7702.51;66;0
5698.82;66;0
;65;0
;64;0
2487.51;64;0
10641.22;64;0
511.61;62;0
8912.19;62;0
;61;0
5085.96;60;0
;60;0
2132.13;59;0
2132.13;59;0
2949.28;58;0
3060.33;57;0
;56;0
;55;0
2224.94;55;0
993.11;54;0
;52;0
3344.01;51;0
;50;0
7499.41;49;0
4162.2;48;0
4536.45;48;0
6279.48;47;0
3240.32;45;0
3889.68;45;0
2377.17;44;0
2132.13;38;0
3247.63;38;0
10556.7;37;0
;36;0
1407.6;35;0
938.4;33;0
2224.94;33;0
2462.65;32;0
2234.53;32;0
2614.59;31;0
1876.8;28;0
2902.03;28;0
2073.81;27;0
7076.87;25;0
3240.32;24;0
3147.59;23;0
12666.3;22;0
2616.11;21;0
3237.73;20;0
1407.6;18;0
259.23;17;0
9720.97;16;0
6378.01;15;0
;14;0
2224.94;13;0
2132.13;13;0
1438.7;10;0
18851.23;10;0
;10;0
12181.35;9;0
;9;0
3836.54;7;0
2224.94;7;0
2091.95;6;0
12666.3;5;0
259.23;5;0
19465.79;5;0
2226.75;5;0
;3;0
;3;0
;2;0
;1;0
;1;0
12666.3;1;0
